,visitorid,itemid,event,timestamp
0,51,355,view,1433221332117
1,198,248,view,1433224214164
2,22,318,view,1433221999827
3,96,253,view,1433221955914
4,190,367,view,1433221337106
5,194,22,view,1433224086234
6,162,443,view,1433221923240
7,158,439,view,1433223291897
8,164,428,view,1433220899221
9,67,82,view,1433221204592
10,35,10,view,1433222162373
11,185,410,view,1433221701252
12,3,44,view,1433224229496
13,119,156,view,1433223697356
14,44,402,view,1433224078165
15,11,334,view,1433222531378
16,275,251,view,1433223239808
17,57,5,addtocart,1433223236124
18,274,176,view,1433224244282
19,31,10,addtocart,1433221078505
20,279,135,view,1433224070841
21,130,132,view,1433224252461
22,242,343,view,1433221274809
23,172,36,view,1433221275206
24,25,17,view,1433223203944
25,121,187,view,1433224683817
26,156,21,view,1433221373311
27,215,262,view,1433222147345
28,90,250,view,1433224554732
29,230,388,view,1433221377547
30,54,205,view,1433224266445
31,169,123,view,1433221380636
32,97,345,view,1433221018375
33,125,128,view,1433223176926
34,226,45,view,1433222143427
35,72,43,view,1433224644638
36,22,430,view,1433223643340
37,172,22,view,1433223471170
38,156,181,view,1433223159620
39,212,280,view,1433222438241
40,97,216,view,1433224056696
41,268,306,view,1433221622167
42,193,159,view,1433223776925
43,151,386,view,1433223148655
44,256,106,view,1433223146605
45,46,75,view,1433221051265
46,78,280,view,1433223785793
47,118,367,view,1433221172079
48,138,112,view,1433223138106
49,86,102,view,1433223574540
50,78,16,view,1433223790254
51,161,128,view,1433223131380
52,36,456,view,1433221169402
53,230,427,view,1433224050320
54,119,134,view,1433222134037
55,35,335,view,1433220944616
56,158,51,view,1433221087074
57,195,55,view,1433222365385
58,148,350,view,1433223102457
59,243,422,view,1433221411595
60,228,417,view,1433222561588
61,215,323,view,1433223360663
62,100,448,view,1433224303386
63,238,255,addtocart,1433223543021
64,75,140,view,1433224041294
65,252,102,view,1433223076406
66,230,357,view,1433221422147
67,47,348,view,1433222366959
68,160,31,view,1433223067576
69,243,292,view,1433222031235
70,105,332,view,1433221152282
71,137,395,view,1433221092368
72,172,415,view,1433223447924
73,144,391,view,1433221149711
74,127,142,view,1433224324329
75,58,288,view,1433222571026
76,4,181,view,1433223854839
77,235,367,view,1433223855932
78,211,302,view,1433222424790
79,170,87,view,1433224145724
80,15,97,view,1433223587786
81,111,131,view,1433224666941
82,16,255,view,1433223862777
83,46,75,view,1433221237091
84,198,227,view,1433223866018
85,209,69,view,1433223866632
86,85,359,view,1433222046974
87,3,81,view,1433223879629
88,19,257,view,1433221139773
89,194,324,view,1433224498209
90,19,328,view,1433221138230
91,27,202,view,1433224344626
92,209,372,view,1433222980695
93,40,261,view,1433224471042
94,221,431,view,1433224754197
95,64,102,view,1433221135245
96,26,67,view,1433223900862
97,56,78,view,1433224352539
98,180,458,view,1433222949983
99,88,75,view,1433222949347
100,176,24,view,1433221468563
101,157,412,view,1433222946463
102,219,337,view,1433222103817
103,253,137,view,1433222942281
104,85,167,view,1433222930873
105,243,203,view,1433220897977
106,215,269,view,1433221123646
